Year,Start-Day,Start-Month,End-Day,End-Month,Parish Name,Total Parish Burials,Parish Plague Burials
1665,3,January,10,January,Alban Woodstreet,0,0
1665,10,January,17,January,Alban Woodstreet,0,0
1665,17,January,24,January,Alban Woodstreet,0,0
1665,24,January,31,January,Alban Woodstreet,0,0
1665,31,January,7,February,Alban Woodstreet,0,0
1665,7,February,14,February,Alban Woodstreet,0,0
1665,14,February,21,February,Alban Woodstreet,3,0
1665,21,February,28,February,Alban Woodstreet,1,0
1665,28,February,7,March,Alban Woodstreet,1,0
1665,7,March,14,March,Alban Woodstreet,2,0
1665,14,March,21,March,Alban Woodstreet,0,0
1665,21,March,28,March,Alban Woodstreet,2,0
1665,28,March,4,April,Alban Woodstreet,1,0
1665,4,April,11,April,Alban Woodstreet,1,0
1665,11,April,18,April,Alban Woodstreet,2,0
1665,18,April,25,April,Alban Woodstreet,1,0
1665,25,April,2,May,Alban Woodstreet,0,0
1665,2,May,9,May,Alban Woodstreet,0,0
1665,9,May,16,May,Alban Woodstreet,1,0
1665,16,May,23,May,Alban Woodstreet,1,0
1665,23,May,30,May,Alban Woodstreet,2,0
1665,30,May,6,June,Alban Woodstreet,0,0
1665,6,June,13,June,Alban Woodstreet,3,1
1665,13,June,20,June,Alban Woodstreet,4,2
1665,20,June,27,June,Alban Woodstreet,1,0
1665,27,June,4,July,Alban Woodstreet,3,0
1665,4,July,11,July,Alban Woodstreet,5,1
1665,11,July,18,July,Alban Woodstreet,4,2
1665,18,July,25,July,Alban Woodstreet,2,1
1665,25,July,1,August,Alban Woodstreet,1,0
1665,1,August,8,August,Alban Woodstreet,9,8
1665,8,August,15,August,Alban Woodstreet,8,5
1665,15,August,22,August,Alban Woodstreet,11,8
1665,22,August,29,August,Alban Woodstreet,16,12
1665,29,August,5,September,Alban Woodstreet,12,9
1665,5,September,12,September,Alban Woodstreet,12,7
1665,12,September,19,September,Alban Woodstreet,23,19
1665,19,September,26,September,Alban Woodstreet,10,5
1665,26,September,3,October,Alban Woodstreet,16,12
1665,3,October,10,October,Alban Woodstreet,17,15
1665,10,October,17,October,Alban Woodstreet,5,2
1665,17,October,24,October,Alban Woodstreet,5,3
1665,24,October,31,October,Alban Woodstreet,2,1
1665,31,October,7,November,Alban Woodstreet,3,3
1665,7,November,14,November,Alban Woodstreet,2,2
1665,14,November,21,November,Alban Woodstreet,2,1
1665,21,November,28,November,Alban Woodstreet,2,1
1665,28,November,5,December,Alban Woodstreet,0,0
1665,5,December,12,December,Alban Woodstreet,1,0
1665,12,December,19,December,Alban Woodstreet,1,1
1665,20,December,27,December,Alban Woodstreet,0,0
1665,27,December,3,January,Alban Woodstreet,2,0
1666,2,January,9,January,Alban Woodstreet,0,0
1666,9,January,16,January,Alban Woodstreet,0,0
1666,16,January,23,January,Alban Woodstreet,1,0
1666,23,January,30,January,Alban Woodstreet,0,0
1666,30,January,6,February,Alban Woodstreet,0,0
1666,6,February,13,February,Alban Woodstreet,1,1
1666,13,February,20,February,Alban Woodstreet,0,0
1666,20,February,27,February,Alban Woodstreet,0,0
1666,27,February,16,March,Alban Woodstreet,1,0
1666,6,March,13,March,Alban Woodstreet,0,0
1666,13,March,20,March,Alban Woodstreet,1,0
1666,20,March,27,March,Alban Woodstreet,0,0
1666,27,March,3,April,Alban Woodstreet,0,0
1666,3,April,10,April,Alban Woodstreet,1,0
1666,10,April,17,April,Alban Woodstreet,0,0
1666,17,April,24,April,Alban Woodstreet,2,1
1666,24,April,1,May,Alban Woodstreet,0,0
1666,1,May,8,May,Alban Woodstreet,0,0
1666,8,May,15,May,Alban Woodstreet,1,0
1666,15,May,22,May,Alban Woodstreet,1,0
1666,22,May,29,May,Alban Woodstreet,1,0
1666,29,May,5,June,Alban Woodstreet,0,0
1666,5,June,12,June,Alban Woodstreet,0,0
1666,12,June,19,June,Alban Woodstreet,0,0
1666,19,June,26,June,Alban Woodstreet,0,0
1666,26,June,3,July,Alban Woodstreet,0,0
1666,3,July,10,July,Alban Woodstreet,1,0
1666,10,July,17,July,Alban Woodstreet,1,0
1666,17,July,24,July,Alban Woodstreet,2,0
1666,24,July,31,July,Alban Woodstreet,0,0
1666,31,July,7,August,Alban Woodstreet,1,0
1666,7,August,14,August,Alban Woodstreet,0,0
1666,14,August,21,August,Alban Woodstreet,0,0
1666,21,August,28,August,Alban Woodstreet,0,0
1666,28,August,18,September,Alban Woodstreet,0,0
1666,19,December,26,December,Alban Woodstreet,2,0
1666,26,December,2,January,Alban Woodstreet,0,0
