Year,Start-Day,Start-Month,End-Day,End-Month,Parish Name,Total Parish Burials,Parish Plague Burials
1665,20,December,27,,St ALban Woodstreet,0,0
1665,20,December,27,,St George Borolphlane,0,0
1665,20,December,27,,St Martin Ludgate,0,0
1665,20,December,27,,Alhallows Barking,2,0
1665,20,December,27,,St Gregory by St Pauls,2,0
1665,20,December,27,,St Martin Orgars,2,0
1665,20,December,27,,Alhallows Breadstreet,1,0
1665,20,December,27,,St Hellen,0,0
1665,20,December,27,,St Martin Outwitch,0,0
1665,20,December,27,,Alha••ows Great,0,0
1665,20,December,27,,St James Dukes place,1,0
1665,20,December,27,,St Martin Vintrey,2,0
1665,20,December,27,,Alhallows Honylane,0,0
1665,20,December,27,,St James Garlickhithe,0,0
1665,20,December,27,,St Matthew Fridaystreet,0,0
1665,20,December,27,,Al••llows Lesse,2,0
1665,20,December,27,,St John Baptist,1,0
1665,20,December,27,,St Maudlin Milkstreet,0,0
1665,20,December,27,,A••allows Lumbardstreet,2,0
1665,20,December,27,,St John Evangelist,0,0
1665,20,December,27,,St Maudlin Oldfishstreet,1,0
1665,20,December,27,,Alh•llows Staining,0,0
1665,20,December,27,,St John Zachary,0,0
1665,20,December,27,,St Michael Bassishaw,1,0
1665,20,December,27,,A••allows the Wall,0,0
1665,20,December,27,,St Katharine Coleman,0,0
1665,20,December,27,,St Michael Cornhil,2,0
1665,20,December,27,,St Alphage,0,0
1665,20,December,27,,St Katharine Crechurch,0,0
1665,20,December,27,,St Michael Crookedlane,1,0
1665,20,December,27,,St Andrew Hubbard,1,0
1665,20,December,27,,St Lawrence Jewry,1,0
1665,20,December,27,,St Michael Queenhithe,0,0
1665,20,December,27,,St Andrew Undershaft,1,0
1665,20,December,27,,St Lawrence Pountney,0,0
1665,20,December,27,,St Michael Quern,0,0
1665,20,December,27,,St Andrew Wardrobe,3,0
1665,20,December,27,,St Leonard Eastcheap,0,0
1665,20,December,27,,St Michael Royal,1,0
1665,20,December,27,,St Ann Aldersgate,1,0
1665,20,December,27,,St Leonard Fosterlane,0,0
1665,20,December,27,,St Michael Woodstreet,2,0
1665,20,December,27,,St Ann Blackfryers,0,0
1665,20,December,27,,St Magnus Parish,1,0
1665,20,December,27,,St Mildred Breadstreet,0,0
1665,20,December,27,,St Antholins Parish,0,0
1665,20,December,27,,St Margaret Lothbury,0,0
1665,20,December,27,,St Mildred Poultrey,1,0
1665,20,December,27,,St Austins Parish,0,0
1665,20,December,27,,St Margaret Moses,0,0
1665,20,December,27,,St Nicholas Acons,0,0
1665,20,December,27,,St Bartholomew Exchange,0,0
1665,20,December,27,,St Margaret Newfishstreet,1,0
1665,20,December,27,,St Nicholas Coleabby,3,0
1665,20,December,27,,St Bennet Fynck,0,0
1665,20,December,27,,St Margaret Pattons,0,0
1665,20,December,27,,St Nicholas Olaves,1,0
1665,20,December,27,,St Bennet Gracechurch,0,0
1665,20,December,27,,St Mary Abchurch,0,0
1665,20,December,27,,St Olave Hartstreet,0,0
1665,20,December,27,,St Bennet Paulswharf,3,0
1665,20,December,27,,St Mary Aldermanbury,0,0
1665,20,December,27,,St Olave Jewry,0,0
1665,20,December,27,,St Bennet Sherehog,0,0
1665,20,December,27,,St Mary Aldermary,1,0
1665,20,December,27,,St Olave Silverstreet,2,0
1665,20,December,27,,St Botolph Billingsgate,0,0
1665,20,December,27,,St Mary le Bow,1,0
1665,20,December,27,,St Panc•as Soperlane,0,0
1665,20,December,27,,Christs Church,2,0
1665,20,December,27,,St Mary Bothaw,0,0
1665,20,December,27,,St Peter Cheap,0,0
1665,20,December,27,,St Christophers,0,0
1665,20,December,27,,St Mary Colechurch,0,0
1665,20,December,27,,St Peter Cornhil,0,0
1665,20,December,27,,St Clement Eastcheap,0,0
1665,20,December,27,,St Mary Hill,0,0
1665,20,December,27,,St Peter Paulswharf,0,0
1665,20,December,27,,St Dionis Backchurch,1,0
1665,20,December,27,,St Mary Mounthaw,0,0
1665,20,December,27,,St Peter Poor,2,0
1665,20,December,27,,St Dunstan East,1,0
1665,20,December,27,,St Mary Sommerset,0,0
1665,20,December,27,,St Steven Colemanstreet,3,0
1665,20,December,27,,St Edmund Lumbardstr,1,0
1665,20,December,27,,St Mary Stayning,0,0
1665,20,December,27,,St Steven Walbrook,1,0
1665,20,December,27,,St Ethelborough,1,0
1665,20,December,27,,St Mary Woolchurch,1,0
1665,20,December,27,,St Swithin,0,0
1665,20,December,27,,St Faith,0,0
1665,20,December,27,,St Mary Woolnoth,0,0
1665,20,December,27,,St Thomas Apostle,0,0
1665,20,December,27,,St Foster,3,0
1665,20,December,27,,St Martin Iremongerlane,0,0
1665,20,December,27,,Trinity Parish,0,0
1665,20,December,27,,St Gabriel Fenchurch,0,0
1665,20,December,27,,St Andrew Holborn,19,0
1665,20,December,27,,St Botolph Aldgate,12,0
1665,20,December,27,,Saviours Southwark,8,0
1665,20,December,27,,St Bartholomew Great,5,0
1665,20,December,27,,St Botolph Bishopsgate,9,0
1665,20,December,27,,S. Sepulchres Parish,21,0
1665,20,December,27,,St Bartholomew Lesse,2,0
1665,20,December,27,,St Dunstan West,3,0
1665,20,December,27,,St Thomas Southwark,0,0
1665,20,December,27,,St Bridget,0,0
1665,20,December,27,,St George Southwark,2,0
